事故ID,事故时间,城市,所在区域,道路名称,事故类型,天气情况,道路类型,照明条件,受伤人数,死亡人数,温度(℃),湿度(%),能见度(km),风速(m/s),事故等级,是否高峰,是否周末,月份,星期,来源
480,2024-10-10 08:55:29,北京市,大兴区,南西环路,追尾,阴,城市次干道,白天,1,0,17.2,58.0,17.5,0.3,一般,1,0,10,4,simulation
481,2023-02-09 07:11:01,北京市,朝阳区,新环环路,翻车,雾,城市次干道,白天,0,0,-8.6,85.0,2.2,0.6,轻微,1,0,2,4,simulation
482,2025-04-04 19:45:19,北京市,丰台区,北南大道,翻车,晴,匝道,黄昏,0,0,20.7,51.0,12.8,2.1,轻微,1,0,4,5,simulation
483,2024-10-29 08:41:20,北京市,昌平区,新环高速公路,追尾,多云,匝道,白天,2,0,17.5,40.0,16.8,2.7,一般,1,0,10,2,simulation
484,2024-01-11 17:23:28,北京市,通州区,东中路,追尾,阴,高速公路,白天,0,0,-0.8,51.0,15.8,0.5,轻微,1,0,1,4,simulation
485,2023-12-13 17:15:30,北京市,石景山区,大南大道,刮擦,阴,匝道,白天,2,0,5.1,31.0,15.6,6.0,一般,1,0,12,3,simulation
486,2024-05-09 23:18:37,北京市,大兴区,北大高速公路,行人事故,多云,支路,夜间有照明,1,0,17.3,62.0,12.0,0.8,轻微,0,0,5,4,simulation
487,2024-03-07 09:26:19,北京市,朝阳区,东新高速公路,刮擦,阴,城市主干道,白天,4,0,14.6,52.0,18.1,5.4,严重,1,0,3,4,simulation
488,2023-02-03 08:40:17,北京市,东城区,西新大道,刮擦,多云,城市主干道,白天,0,0,1.1,45.0,17.0,1.5,轻微,1,0,2,5,simulation
489,2025-10-17 02:54:07,北京市,通州区,大东街,侧面碰撞,多云,支路,夜间有照明,3,1,21.1,62.0,18.3,0.2,严重,0,0,10,5,simulation
490,2024-08-01 19:30:40,北京市,西城区,中南路,翻车,晴,高速公路,黄昏,1,0,28.4,38.0,11.7,2.9,一般,1,0,8,4,simulation
491,2024-09-18 18:12:53,北京市,东城区,南北路,刮擦,阴,城市次干道,黄昏,4,0,21.4,57.0,17.6,12.6,严重,1,0,9,3,simulation
492,2024-02-01 20:20:35,北京市,通州区,大大环路,追尾,晴,匝道,夜间有照明,1,0,-5.3,58.0,14.9,0.6,一般,0,0,2,4,simulation
493,2024-12-25 17:18:20,北京市,通州区,新东高速公路,侧面碰撞,晴,高速公路,白天,0,0,9.6,66.0,8.3,7.9,轻微,1,0,12,3,simulation
494,2024-02-26 09:32:23,北京市,东城区,北南街,单车事故,雪,支路,白天,1,0,-6.6,82.0,1.0,0.2,一般,1,0,2,1,simulation
495,2024-12-11 18:49:58,北京市,顺义区,北大大道,刮擦,晴,城市主干道,黄昏,0,0,0.9,38.0,12.3,5.6,轻微,1,0,12,3,simulation
496,2023-01-11 18:00:18,北京市,海淀区,东大路,刮擦,晴,城市次干道,黄昏,0,0,2.6,38.0,8.1,1.3,轻微,1,0,1,3,simulation
497,2023-04-23 17:49:27,北京市,东城区,东西环路,追尾,多云,支路,白天,0,0,20.9,51.0,9.3,1.9,轻微,1,1,4,7,simulation
498,2023-11-04 04:33:24,北京市,丰台区,南东高速公路,追尾,晴,匝道,夜间有照明,1,0,16.1,63.0,8.3,6.7,严重,0,1,11,6,simulation
499,2024-02-18 09:20:42,北京市,通州区,北西环路,刮擦,多云,支路,白天,1,0,-2.0,49.0,17.7,3.6,一般,1,1,2,7,simulation
500,2023-11-22 11:27:23,北京市,顺义区,新大街,行人事故,小雨,城市主干道,白天,0,0,19.2,52.0,7.4,0.5,轻微,0,0,11,3,simulation
501,2023-03-10 19:15:06,北京市,大兴区,东环高速公路,追尾,多云,城市次干道,黄昏,2,0,21.6,69.0,9.9,0.4,一般,1,0,3,5,simulation
502,2023-02-19 16:41:46,北京市,石景山区,东东路,单车事故,阴,高速公路,白天,1,0,0.2,70.0,17.3,1.6,一般,0,1,2,7,simulation
503,2025-03-12 07:17:56,北京市,海淀区,东北大道,侧面碰撞,多云,城市主干道,白天,0,0,21.3,33.0,17.9,1.5,轻微,1,0,3,3,simulation
504,2023-03-19 21:31:22,北京市,顺义区,新环快速路,追尾,多云,匝道,夜间无照明,1,0,16.9,50.0,14.9,0.5,轻微,0,1,3,7,simulation
505,2025-01-21 17:12:52,北京市,丰台区,大西环路,追尾,雪,支路,白天,0,0,-4.1,74.0,2.6,1.0,轻微,1,0,1,2,simulation
506,2024-06-13 06:16:55,北京市,朝阳区,西中街,单车事故,多云,城市主干道,白天,0,0,25.3,65.0,14.2,0.1,轻微,0,0,6,4,simulation
507,2023-07-26 09:13:07,北京市,丰台区,中南路,追尾,阴,匝道,白天,0,0,25.4,40.0,8.4,1.3,轻微,1,0,7,3,simulation
508,2025-04-23 09:28:20,北京市,东城区,环南环路,行人事故,晴,城市主干道,白天,0,0,18.0,57.0,9.4,0.3,轻微,1,0,4,3,simulation
509,2025-12-15 07:24:48,北京市,西城区,中新街,多车连环,阴,城市次干道,白天,0,0,1.3,68.0,8.5,0.3,轻微,1,0,12,1,simulation
510,2025-04-26 08:53:01,北京市,西城区,南西高速公路,行人事故,晴,高速公路,白天,0,0,18.5,45.0,15.7,3.8,轻微,1,1,4,6,simulation
511,2024-03-03 19:34:34,北京市,东城区,环西快速路,翻车,阴,城市次干道,黄昏,0,0,30.3,56.0,8.6,0.6,轻微,1,1,3,7,simulation
512,2025-05-04 10:47:34,北京市,昌平区,东环高速公路,追尾,多云,匝道,白天,3,0,17.1,53.0,8.3,1.8,一般,0,1,5,7,simulation
513,2023-07-11 07:49:31,北京市,东城区,环环环路,多车连环,晴,城市主干道,白天,0,0,30.2,40.0,14.9,4.9,轻微,1,0,7,2,simulation
514,2023-10-01 17:34:36,北京市,海淀区,环西大道,行人事故,晴,城市次干道,白天,1,0,16.0,67.0,14.0,7.8,轻微,1,1,10,7,simulation
515,2023-03-15 08:45:47,北京市,大兴区,环环街,单车事故,阴,高速公路,白天,2,0,18.3,60.0,19.9,0.3,一般,1,0,3,3,simulation
516,2023-07-29 08:31:09,北京市,东城区,东北路,追尾,晴,支路,白天,1,0,33.3,49.0,14.9,3.6,轻微,1,1,7,6,simulation
517,2024-02-11 07:17:32,北京市,顺义区,新东高速公路,侧面碰撞,多云,匝道,白天,0,0,9.5,42.0,17.2,0.2,轻微,1,1,2,7,simulation
518,2024-12-06 09:18:55,北京市,朝阳区,西西快速路,单车事故,多云,高速公路,白天,2,0,-1.1,38.0,18.5,5.6,一般,1,0,12,5,simulation
519,2025-05-23 08:09:48,北京市,石景山区,南南大道,单车事故,多云,城市主干道,白天,1,0,12.6,59.0,16.9,0.1,严重,1,0,5,5,simulation
520,2023-02-18 06:09:31,北京市,大兴区,西北路,追尾,多云,城市主干道,白天,1,0,-1.9,35.0,19.9,3.7,轻微,0,1,2,6,simulation
521,2025-03-20 18:19:55,北京市,丰台区,北东路,刮擦,晴,城市次干道,黄昏,1,0,19.8,49.0,10.1,2.1,轻微,1,0,3,4,simulation
522,2025-01-11 07:44:34,北京市,大兴区,新南街,行人事故,晴,城市次干道,白天,0,0,-3.1,50.0,12.4,0.4,轻微,1,1,1,6,simulation
523,2025-03-05 19:48:16,北京市,昌平区,西中街,追尾,阴,支路,黄昏,1,0,20.3,58.0,16.5,5.4,一般,1,0,3,3,simulation
524,2024-12-23 17:58:53,北京市,顺义区,西西快速路,追尾,多云,高速公路,白天,3,0,8.4,53.0,10.7,2.4,一般,1,0,12,1,simulation
525,2024-02-12 15:22:14,北京市,大兴区,中北快速路,多车连环,晴,城市次干道,白天,1,0,-0.2,42.0,16.3,0.4,轻微,0,0,2,1,simulation
526,2024-02-24 09:24:07,北京市,东城区,南东高速公路,追尾,多云,支路,白天,1,0,2.2,61.0,15.3,2.8,轻微,1,1,2,6,simulation
527,2026-01-04 09:14:37,北京市,东城区,东新大道,侧面碰撞,雪,城市次干道,白天,0,0,-6.9,80.0,1.2,0.3,轻微,1,1,1,7,simulation
528,2023-07-02 08:43:42,北京市,东城区,大中环路,追尾,多云,支路,白天,0,0,26.5,52.0,19.8,2.2,轻微,1,1,7,7,simulation
529,2025-04-19 19:53:10,北京市,丰台区,东北街,追尾,晴,高速公路,黄昏,1,0,24.6,52.0,11.9,1.7,一般,1,1,4,6,simulation
530,2023-09-06 14:51:36,北京市,昌平区,西新街,侧面碰撞,阴,匝道,白天,0,0,9.3,59.0,14.2,3.3,轻微,0,0,9,3,simulation
531,2024-11-13 19:38:03,北京市,海淀区,大西环路,追尾,多云,城市主干道,黄昏,1,0,16.1,36.0,12.2,0.1,一般,1,0,11,3,simulation
532,2025-12-29 18:51:25,北京市,大兴区,环南高速公路,翻车,多云,高速公路,黄昏,1,0,9.1,45.0,17.9,3.6,轻微,1,0,12,1,simulation
533,2024-05-08 07:20:20,北京市,朝阳区,大东大道,单车事故,多云,城市主干道,白天,0,0,15.4,66.0,19.8,1.4,轻微,1,0,5,3,simulation
534,2023-07-30 22:28:54,北京市,通州区,大中路,追尾,多云,城市次干道,夜间有照明,0,0,32.6,50.0,14.7,0.0,轻微,0,1,7,7,simulation
535,2025-01-07 19:43:48,北京市,丰台区,南环环路,追尾,多云,高速公路,黄昏,0,0,-2.7,51.0,9.0,2.6,轻微,1,0,1,2,simulation
536,2024-06-02 18:33:04,北京市,海淀区,大北路,行人事故,雷阵雨,城市次干道,黄昏,0,0,30.3,56.0,7.9,1.9,轻微,1,1,6,7,simulation
537,2026-01-03 01:10:04,北京市,昌平区,东大环路,单车事故,雪,支路,夜间有照明,0,0,7.0,77.0,0.6,12.5,轻微,0,1,1,6,simulation
538,2023-09-04 07:55:42,北京市,海淀区,新东高速公路,追尾,多云,城市主干道,白天,0,0,13.7,37.0,19.4,8.3,轻微,1,0,9,1,simulation
539,2023-08-22 09:35:39,北京市,石景山区,南新路,追尾,晴,支路,白天,0,0,30.2,59.0,9.4,0.5,轻微,1,0,8,2,simulation
540,2025-05-25 15:09:00,北京市,海淀区,东西高速公路,行人事故,晴,城市次干道,白天,0,0,12.6,34.0,15.7,4.7,轻微,0,1,5,7,simulation
541,2023-10-21 07:11:52,北京市,东城区,环西街,行人事故,小雨,城市主干道,白天,1,0,20.7,67.0,7.8,0.1,一般,1,1,10,6,simulation
542,2024-03-06 00:41:56,北京市,大兴区,北环快速路,追尾,晴,匝道,夜间有照明,0,0,19.9,51.0,9.4,1.3,轻微,0,0,3,3,simulation
543,2025-02-01 17:04:19,北京市,西城区,北北高速公路,刮擦,雾,高速公路,白天,1,0,3.1,81.0,1.4,6.9,一般,1,1,2,6,simulation
544,2023-07-04 09:02:03,北京市,西城区,南新高速公路,刮擦,多云,支路,白天,2,0,26.8,34.0,17.9,9.1,一般,1,0,7,2,simulation
545,2024-10-18 22:54:57,北京市,海淀区,北中环路,侧面碰撞,晴,支路,夜间有照明,1,0,22.5,36.0,19.9,1.6,轻微,0,0,10,5,simulation
546,2023-10-26 17:59:04,北京市,顺义区,大南高速公路,翻车,多云,城市主干道,白天,1,0,25.1,64.0,13.0,1.7,轻微,1,0,10,4,simulation
547,2023-09-24 17:33:30,北京市,西城区,环南大道,追尾,晴,高速公路,白天,1,0,21.1,46.0,18.8,6.2,轻微,1,1,9,7,simulation
548,2024-03-21 07:24:00,北京市,大兴区,西新街,追尾,晴,支路,白天,0,0,16.6,56.0,17.7,0.6,轻微,1,0,3,4,simulation
549,2023-01-14 08:49:02,北京市,朝阳区,南新大道,单车事故,多云,城市次干道,白天,1,0,-4.9,69.0,12.2,3.3,一般,1,1,1,6,simulation
550,2025-11-23 05:48:55,北京市,朝阳区,新中高速公路,追尾,晴,支路,夜间有照明,3,1,22.5,42.0,11.2,2.3,严重,0,1,11,7,simulation
551,2023-12-07 04:04:23,北京市,东城区,北南高速公路,单车事故,晴,城市次干道,夜间有照明,1,0,-2.3,51.0,18.6,0.7,一般,0,0,12,4,simulation
552,2024-01-15 08:19:32,北京市,西城区,环大高速公路,追尾,阴,城市主干道,白天,0,0,3.6,58.0,8.0,1.8,轻微,1,0,1,1,simulation
553,2023-12-15 22:36:19,北京市,朝阳区,南南路,多车连环,多云,高速公路,夜间无照明,0,0,-13.1,68.0,18.9,3.2,轻微,0,0,12,5,simulation
554,2025-07-17 09:44:15,北京市,海淀区,大南街,追尾,晴,支路,白天,0,0,27.0,43.0,11.8,0.0,轻微,1,0,7,4,simulation
555,2024-06-01 19:40:28,北京市,大兴区,西南快速路,追尾,雷阵雨,支路,黄昏,2,0,24.6,55.0,5.8,1.4,一般,1,1,6,6,simulation
556,2024-01-19 18:57:57,北京市,朝阳区,北南大道,翻车,阴,高速公路,黄昏,0,0,8.0,41.0,11.9,4.3,轻微,1,0,1,5,simulation
557,2023-02-24 17:04:48,北京市,海淀区,南新大道,刮擦,阴,支路,白天,0,0,0.4,63.0,14.4,2.0,轻微,1,0,2,5,simulation
558,2024-09-19 01:34:37,北京市,昌平区,西南快速路,追尾,阴,高速公路,夜间有照明,0,0,20.1,57.0,18.4,1.7,轻微,0,0,9,4,simulation
559,2024-12-01 17:54:53,北京市,顺义区,东北大道,追尾,晴,匝道,白天,3,0,14.5,67.0,10.1,0.1,一般,1,1,12,7,simulation
560,2025-01-09 19:15:01,北京市,顺义区,中东快速路,翻车,多云,高速公路,黄昏,0,0,-2.8,36.0,9.2,1.9,轻微,1,0,1,4,simulation
561,2024-04-09 18:49:42,北京市,顺义区,北西路,追尾,多云,匝道,黄昏,1,0,18.1,61.0,16.2,2.9,一般,1,0,4,2,simulation
562,2025-10-23 17:04:26,北京市,顺义区,西大大道,追尾,晴,支路,白天,0,0,17.7,48.0,15.4,2.0,轻微,1,0,10,4,simulation
563,2023-06-12 18:48:03,北京市,海淀区,东环路,多车连环,雷阵雨,城市次干道,黄昏,2,0,29.8,66.0,7.8,4.0,一般,1,0,6,1,simulation
564,2023-03-29 07:21:32,北京市,东城区,中东大道,多车连环,小雨,匝道,白天,0,0,16.2,35.0,3.0,2.3,轻微,1,0,3,3,simulation
565,2025-09-13 09:10:01,北京市,顺义区,环东大道,单车事故,多云,城市主干道,白天,1,0,25.7,34.0,10.3,3.5,一般,1,1,9,6,simulation
566,2024-05-12 08:47:46,北京市,石景山区,环新高速公路,侧面碰撞,阴,支路,白天,0,0,18.8,69.0,8.9,1.1,轻微,1,1,5,7,simulation
567,2024-05-06 09:30:19,北京市,昌平区,中环高速公路,刮擦,阴,支路,白天,1,0,22.3,45.0,15.6,1.0,一般,1,0,5,1,simulation
568,2023-09-15 18:16:15,北京市,东城区,西西环路,追尾,多云,城市主干道,黄昏,0,0,15.7,54.0,14.3,0.0,轻微,1,0,9,5,simulation
569,2024-09-01 22:14:01,北京市,石景山区,中西高速公路,追尾,晴,城市主干道,夜间有照明,3,0,23.6,68.0,9.7,1.6,严重,0,1,9,7,simulation
570,2025-09-21 19:09:03,北京市,通州区,新中快速路,侧面碰撞,多云,城市主干道,黄昏,2,0,19.9,51.0,12.2,1.8,一般,1,1,9,7,simulation
571,2023-04-22 08:06:31,北京市,丰台区,环东大道,追尾,阴,匝道,白天,0,0,15.6,65.0,16.4,3.6,轻微,1,1,4,6,simulation
572,2024-11-30 17:50:07,北京市,昌平区,东西快速路,追尾,晴,支路,白天,0,0,15.2,37.0,8.8,3.7,轻微,1,1,11,6,simulation
573,2023-08-02 12:09:01,北京市,顺义区,东西路,刮擦,多云,支路,白天,0,0,28.7,33.0,12.8,0.5,轻微,0,0,8,3,simulation
574,2024-08-08 07:55:11,北京市,昌平区,北东快速路,多车连环,雷阵雨,支路,白天,0,0,24.6,65.0,3.4,1.6,轻微,1,0,8,4,simulation
575,2024-09-15 09:39:38,北京市,丰台区,东南路,侧面碰撞,晴,高速公路,白天,1,0,16.8,64.0,18.7,1.8,一般,1,1,9,7,simulation
576,2023-12-05 08:25:58,北京市,顺义区,南环街,翻车,晴,城市主干道,白天,4,0,11.4,62.0,9.6,0.2,严重,1,0,12,2,simulation
577,2024-01-09 09:20:37,北京市,大兴区,西新环路,刮擦,雾,城市次干道,白天,2,0,-0.5,87.0,1.6,0.1,严重,1,0,1,2,simulation
578,2025-11-12 19:26:56,北京市,西城区,东新街,侧面碰撞,多云,城市次干道,黄昏,0,0,22.5,40.0,13.3,0.6,轻微,1,0,11,3,simulation
579,2023-04-24 08:21:04,北京市,昌平区,南中街,追尾,阴,城市主干道,白天,3,0,14.1,59.0,15.1,2.2,严重,1,0,4,1,simulation
580,2025-02-15 19:01:11,北京市,西城区,东南环路,刮擦,阴,高速公路,黄昏,0,0,-2.1,56.0,14.2,2.3,轻微,1,1,2,6,simulation
581,2024-03-12 18:52:25,北京市,大兴区,中南路,追尾,晴,高速公路,黄昏,1,0,20.5,52.0,16.2,7.1,一般,1,0,3,2,simulation
582,2023-08-21 17:11:19,北京市,顺义区,西北路,追尾,多云,城市次干道,白天,0,0,21.1,68.0,9.1,3.3,轻微,1,0,8,1,simulation
583,2024-09-08 17:51:26,北京市,海淀区,大北快速路,追尾,晴,城市次干道,白天,2,0,15.1,60.0,16.1,2.2,一般,1,1,9,7,simulation
584,2023-04-22 18:34:44,北京市,大兴区,中北街,追尾,晴,支路,黄昏,0,0,17.6,61.0,19.6,8.4,轻微,1,1,4,6,simulation
585,2023-11-20 08:19:57,北京市,石景山区,南南路,追尾,晴,支路,白天,0,0,16.4,44.0,15.4,1.6,轻微,1,0,11,1,simulation
586,2023-06-22 09:00:10,北京市,石景山区,新新大道,追尾,晴,城市主干道,白天,0,0,29.8,50.0,9.7,1.0,轻微,1,0,6,4,simulation
587,2023-09-22 05:03:02,北京市,西城区,新北大道,行人事故,多云,高速公路,夜间无照明,1,0,23.4,48.0,15.6,0.6,一般,0,0,9,5,simulation
588,2024-01-11 07:21:11,北京市,东城区,环中路,侧面碰撞,多云,城市主干道,白天,0,0,-1.8,33.0,10.1,0.9,轻微,1,0,1,4,simulation
589,2024-02-16 17:09:28,北京市,西城区,南新高速公路,多车连环,晴,支路,白天,2,0,-1.3,54.0,12.3,0.9,严重,1,0,2,5,simulation
590,2024-04-30 07:52:58,北京市,顺义区,环南街,侧面碰撞,多云,城市次干道,白天,0,0,16.4,31.0,8.2,2.1,轻微,1,0,4,2,simulation
591,2025-07-03 18:40:26,北京市,石景山区,东新大道,刮擦,多云,城市次干道,黄昏,0,0,25.6,36.0,14.4,0.4,轻微,1,0,7,4,simulation
592,2023-04-06 17:34:28,北京市,东城区,南北高速公路,行人事故,多云,城市主干道,白天,1,0,19.9,52.0,8.9,2.7,严重,1,0,4,4,simulation
593,2025-10-06 09:01:12,北京市,通州区,环南路,侧面碰撞,晴,城市主干道,白天,2,1,20.7,36.0,9.7,6.2,严重,1,0,10,1,simulation
594,2024-11-03 18:33:37,北京市,海淀区,大东高速公路,刮擦,多云,支路,黄昏,0,0,11.6,32.0,19.5,6.1,轻微,1,1,11,7,simulation
595,2023-04-27 17:47:31,北京市,海淀区,东北路,单车事故,多云,城市主干道,白天,0,0,21.3,54.0,16.9,7.0,轻微,1,0,4,4,simulation
596,2023-02-09 17:41:35,北京市,石景山区,中环路,追尾,晴,匝道,白天,1,0,-2.5,44.0,12.1,1.9,一般,1,0,2,4,simulation
597,2023-07-23 21:59:29,北京市,昌平区,环中大道,刮擦,晴,城市主干道,夜间无照明,0,0,28.5,39.0,17.3,12.6,轻微,0,1,7,7,simulation
598,2024-10-27 08:30:32,北京市,顺义区,大大路,侧面碰撞,多云,城市主干道,白天,1,0,9.1,34.0,13.5,1.0,轻微,1,1,10,7,simulation
599,2025-10-21 06:11:41,北京市,大兴区,新南大道,侧面碰撞,晴,城市主干道,白天,0,0,20.9,60.0,18.7,0.3,轻微,0,0,10,2,simulation
600,2024-12-21 18:55:28,北京市,朝阳区,南南高速公路,行人事故,阴,城市次干道,黄昏,2,1,-1.8,48.0,15.9,2.4,严重,1,1,12,6,simulation
601,2025-06-06 18:42:26,北京市,朝阳区,东新环路,刮擦,晴,高速公路,黄昏,1,0,28.8,62.0,19.8,0.7,轻微,1,0,6,5,simulation
602,2023-03-11 17:53:00,北京市,昌平区,新北路,追尾,多云,城市主干道,白天,1,0,20.7,41.0,12.5,4.1,轻微,1,1,3,6,simulation
603,2025-03-05 07:42:57,北京市,通州区,大新街,单车事故,晴,城市次干道,白天,0,0,22.3,39.0,12.2,0.3,轻微,1,0,3,3,simulation
604,2023-01-16 19:01:16,北京市,顺义区,北中高速公路,刮擦,多云,匝道,黄昏,3,0,-0.2,54.0,16.3,0.0,一般,1,0,1,1,simulation
605,2023-11-16 08:48:23,北京市,昌平区,新环高速公路,追尾,阴,高速公路,白天,2,0,18.1,31.0,10.5,2.2,一般,1,0,11,4,simulation
606,2024-05-18 09:05:19,北京市,通州区,东南快速路,刮擦,晴,高速公路,白天,3,0,11.2,65.0,15.1,0.1,严重,1,1,5,6,simulation
607,2025-09-09 19:49:01,北京市,石景山区,环东大道,侧面碰撞,多云,城市主干道,黄昏,0,0,25.5,66.0,10.6,1.6,轻微,1,0,9,2,simulation
608,2025-05-19 17:40:57,北京市,海淀区,西南环路,行人事故,晴,支路,白天,2,0,12.3,38.0,13.2,0.9,一般,1,0,5,1,simulation
609,2025-01-02 17:06:23,北京市,昌平区,东西快速路,侧面碰撞,雾,高速公路,白天,0,0,7.1,93.0,0.7,11.6,轻微,1,0,1,4,simulation
610,2025-12-21 17:07:21,北京市,朝阳区,环大大道,追尾,阴,城市主干道,白天,0,0,-4.4,63.0,15.8,0.9,轻微,1,1,12,7,simulation
611,2025-11-03 23:46:43,北京市,西城区,东南路,追尾,晴,城市主干道,夜间有照明,2,0,15.4,62.0,15.7,4.2,一般,0,0,11,1,simulation
612,2025-03-13 21:36:01,北京市,朝阳区,西南路,翻车,晴,城市次干道,夜间无照明,1,0,13.9,48.0,17.1,1.0,一般,0,0,3,4,simulation
613,2025-03-17 07:42:58,北京市,丰台区,大中街,追尾,晴,匝道,白天,1,0,19.4,59.0,16.7,1.6,轻微,1,0,3,1,simulation
614,2024-01-03 12:29:36,北京市,石景山区,环环大道,追尾,多云,支路,白天,0,0,6.5,49.0,13.0,0.7,轻微,0,0,1,3,simulation
615,2024-12-26 19:40:20,北京市,昌平区,中东环路,刮擦,雪,匝道,黄昏,0,0,4.7,74.0,0.5,1.2,轻微,1,0,12,4,simulation
616,2025-10-28 17:41:43,北京市,西城区,南环环路,刮擦,多云,支路,白天,1,0,5.3,39.0,14.1,6.4,一般,1,0,10,2,simulation
617,2025-04-26 07:19:10,北京市,大兴区,新中大道,侧面碰撞,晴,城市主干道,白天,2,0,21.3,65.0,14.0,6.2,一般,1,1,4,6,simulation
618,2024-03-01 09:06:53,北京市,通州区,中环高速公路,追尾,晴,支路,白天,1,0,23.2,50.0,11.4,0.0,一般,1,0,3,5,simulation
619,2023-10-23 09:05:54,北京市,朝阳区,西新街,追尾,多云,城市主干道,白天,3,0,18.4,52.0,11.8,0.1,严重,1,0,10,1,simulation
620,2025-04-23 17:04:40,北京市,石景山区,南东环路,刮擦,小雨,城市次干道,白天,0,0,24.0,31.0,6.6,4.8,轻微,1,0,4,3,simulation
621,2023-11-02 13:49:20,北京市,石景山区,南西快速路,多车连环,晴,高速公路,白天,1,0,14.3,57.0,14.3,2.0,轻微,0,0,11,4,simulation
622,2024-03-01 07:55:34,北京市,昌平区,中中高速公路,刮擦,多云,高速公路,白天,0,0,16.0,37.0,12.0,2.5,轻微,1,0,3,5,simulation
623,2024-06-02 08:44:32,北京市,石景山区,北环街,侧面碰撞,多云,城市次干道,白天,0,0,24.7,36.0,15.4,7.5,轻微,1,1,6,7,simulation
624,2024-02-16 09:55:59,北京市,西城区,大环街,刮擦,多云,城市次干道,白天,4,0,4.5,63.0,13.6,1.9,严重,1,0,2,5,simulation
625,2023-04-12 18:52:20,北京市,通州区,大大快速路,侧面碰撞,晴,支路,黄昏,1,0,21.1,63.0,11.4,7.2,轻微,1,0,4,3,simulation
626,2023-10-28 10:32:58,北京市,顺义区,环南路,追尾,小雨,支路,白天,0,0,16.6,55.0,6.5,2.9,轻微,0,1,10,6,simulation
627,2023-10-27 09:27:50,北京市,丰台区,西东高速公路,侧面碰撞,晴,城市主干道,白天,0,0,10.6,66.0,8.6,1.4,轻微,1,0,10,5,simulation
628,2025-02-07 19:14:54,北京市,大兴区,大西路,单车事故,多云,匝道,黄昏,1,0,2.6,66.0,14.6,1.6,轻微,1,0,2,5,simulation
629,2023-03-24 19:51:57,北京市,大兴区,大大高速公路,刮擦,阴,高速公路,黄昏,1,0,17.6,52.0,14.3,11.1,一般,1,0,3,5,simulation
630,2024-07-10 08:40:51,北京市,丰台区,东西街,刮擦,多云,支路,白天,0,0,31.0,35.0,13.6,2.8,轻微,1,0,7,3,simulation
631,2023-05-21 08:05:38,北京市,通州区,大大大道,翻车,阴,城市次干道,白天,4,1,15.9,50.0,12.2,2.0,严重,1,1,5,7,simulation
632,2024-03-09 08:51:42,北京市,石景山区,中东快速路,单车事故,阴,高速公路,白天,0,0,15.6,33.0,9.2,4.2,轻微,1,1,3,6,simulation
633,2025-05-12 08:31:05,北京市,丰台区,南环路,刮擦,阴,支路,白天,1,0,9.5,31.0,17.1,5.8,一般,1,0,5,1,simulation
634,2024-07-16 14:55:39,北京市,丰台区,新东街,追尾,晴,城市主干道,白天,0,0,30.6,57.0,12.1,13.3,轻微,0,0,7,2,simulation
635,2023-06-15 12:49:41,北京市,海淀区,东北街,多车连环,晴,匝道,白天,2,0,30.2,30.0,11.4,5.2,一般,0,0,6,4,simulation
636,2023-10-14 07:06:47,北京市,海淀区,北大快速路,追尾,晴,城市主干道,白天,0,0,20.4,41.0,11.1,1.6,轻微,1,1,10,6,simulation
637,2025-12-03 02:30:49,北京市,通州区,北新路,追尾,多云,城市次干道,夜间有照明,2,0,-2.6,64.0,8.9,10.1,严重,0,0,12,3,simulation
638,2024-11-24 07:02:00,北京市,石景山区,中环路,追尾,晴,高速公路,白天,0,0,10.3,43.0,13.0,6.3,轻微,1,1,11,7,simulation
639,2023-09-13 13:00:34,北京市,朝阳区,东南高速公路,追尾,多云,支路,白天,0,0,21.8,66.0,8.7,0.8,轻微,0,0,9,3,simulation
640,2025-08-07 07:06:50,北京市,西城区,中南高速公路,追尾,多云,城市次干道,白天,2,0,27.7,34.0,17.7,2.7,一般,1,0,8,4,simulation
641,2024-01-22 06:37:00,北京市,东城区,西南环路,多车连环,晴,支路,白天,3,0,-8.0,57.0,9.6,0.4,一般,0,0,1,1,simulation
642,2024-11-01 09:01:51,北京市,顺义区,西新大道,侧面碰撞,晴,城市主干道,白天,1,0,21.6,43.0,10.0,1.9,轻微,1,0,11,5,simulation
643,2025-11-15 09:06:17,北京市,石景山区,环东路,刮擦,晴,匝道,白天,0,0,17.0,63.0,14.6,16.0,轻微,1,1,11,6,simulation
644,2025-11-15 09:35:03,北京市,顺义区,南新大道,刮擦,多云,城市主干道,白天,3,0,13.5,45.0,10.7,0.8,一般,1,1,11,6,simulation
645,2024-08-06 08:03:21,北京市,西城区,西新快速路,侧面碰撞,多云,城市次干道,白天,0,0,25.0,38.0,12.5,12.0,轻微,1,0,8,2,simulation
646,2023-12-29 19:17:52,北京市,丰台区,中中高速公路,侧面碰撞,晴,匝道,黄昏,0,0,11.2,50.0,8.8,0.7,轻微,1,0,12,5,simulation
647,2024-03-07 09:08:45,北京市,朝阳区,西中路,行人事故,阴,城市主干道,白天,3,0,16.6,67.0,14.8,1.5,一般,1,0,3,4,simulation
648,2024-04-03 14:53:12,北京市,顺义区,新环路,追尾,晴,高速公路,白天,1,0,16.0,62.0,13.5,12.7,轻微,0,0,4,3,simulation
649,2023-12-16 19:36:27,北京市,顺义区,中北大道,侧面碰撞,雪,城市主干道,黄昏,1,0,-8.0,71.0,2.2,1.6,一般,1,1,12,6,simulation
