事故ID,事故时间,所在区域,道路类型,事故类型,天气情况,受伤人数,死亡人数,温度(℃),湿度(%),能见度(km),风速(m/s),事故等级
2675,2025-04-13 08:58:17.803988392,东城区,城市主干道,多车连环,雨天,4,0,-7.1,22,0.6,16.8,轻微
2676,2021-08-09 14:05:20.126220616,朝阳区,支路,侧碰,雾天,4,0,36.7,42,8.1,8.1,严重
2677,2022-08-28 23:17:29.199127904,西城区,城市主干道,单车事故,晴天,2,1,27.0,92,4.1,19.2,轻微
2678,2025-09-17 08:08:53.987606744,丰台区,城市次干道,多车连环,雨天,4,1,-0.2,39,8.2,16.9,轻微
2679,2022-03-19 03:56:26.552863280,丰台区,支路,追尾,雾天,0,0,15.3,61,10.3,14.6,严重
2680,2022-10-18 21:26:01.170325024,东城区,城市主干道,单车事故,晴天,3,0,-6.8,82,16.3,13.7,轻微
2681,2023-01-24 12:58:04.842692264,石景山区,城市次干道,刮擦,雪天,4,0,-8.3,20,10.7,10.5,一般
2682,2022-01-02 18:49:11.269334928,东城区,城市主干道,追尾,阴天,1,1,17.4,66,16.8,3.4,轻微
2683,2022-10-24 08:50:48.479055896,东城区,高速公路,侧碰,雪天,3,1,34.4,86,11.3,13.2,轻微
2684,2023-12-08 07:18:38.326040600,石景山区,城市次干道,单车事故,晴天,2,0,12.5,92,14.2,7.4,轻微
2685,2021-05-10 03:29:22.070415036,海淀区,支路,追尾,雨天,1,0,-1.3,22,5.7,0.7,轻微
2686,2022-06-03 19:43:28.875095504,海淀区,支路,单车事故,阴天,0,0,-7.7,24,14.7,16.3,轻微
2687,2022-10-05 22:25:21.206328624,海淀区,高速公路,刮擦,阴天,3,1,-2.0,69,13.9,16.2,轻微
2688,2023-03-21 00:37:16.237831776,丰台区,支路,单车事故,雨天,3,0,26.7,25,12.9,6.4,一般
2689,2025-01-13 00:39:17.209928984,石景山区,高速公路,侧碰,晴天,4,1,22.0,55,14.6,6.7,轻微
2690,2022-10-20 21:37:06.516859680,西城区,城市次干道,侧碰,雪天,4,0,1.5,79,8.0,6.6,轻微
2691,2022-06-17 07:52:37.569964992,丰台区,城市次干道,侧碰,雪天,1,0,-4.8,61,11.8,0.2,轻微
2692,2024-10-03 17:30:41.998407832,石景山区,高速公路,单车事故,雪天,1,1,10.9,64,16.2,13.0,轻微
2693,2021-09-16 21:58:51.287336728,丰台区,支路,多车连环,雾天,1,1,39.3,20,8.8,17.4,轻微
2694,2024-12-30 16:52:58.092017192,东城区,高速公路,刮擦,晴天,2,1,7.1,29,1.4,1.3,轻微
2695,2021-08-12 12:10:33.357543748,西城区,高速公路,侧碰,雨天,0,0,33.8,31,6.5,12.4,轻微
2696,2022-03-27 13:26:27.092917288,西城区,城市次干道,多车连环,雨天,2,1,7.9,57,0.5,4.4,轻微
2697,2024-04-22 11:07:02.736481640,海淀区,城市主干道,侧碰,阴天,2,0,13.2,81,1.4,12.8,轻微
2698,2025-10-13 19:18:42.646472632,东城区,城市主干道,多车连环,晴天,2,1,21.2,72,17.2,17.1,轻微
2699,2024-03-18 18:50:03.114519448,东城区,城市主干道,多车连环,雨天,1,1,17.7,40,10.6,12.2,轻微
2700,2025-05-13 07:21:48.425050504,丰台区,城市次干道,追尾,雾天,2,0,13.6,24,6.9,18.2,一般
2701,2025-01-28 08:36:41.674375432,西城区,城市主干道,多车连环,阴天,3,0,22.9,55,9.1,16.4,轻微
2702,2022-07-02 20:12:51.611369128,西城区,城市主干道,侧碰,雾天,4,0,11.5,60,15.9,14.7,严重
2703,2025-04-03 03:40:01.494357432,东城区,城市次干道,多车连环,雨天,3,0,2.1,90,4.7,2.4,轻微
2704,2023-08-30 15:35:29.307138712,石景山区,城市主干道,追尾,雾天,4,0,8.9,34,10.9,0.6,轻微
2705,2023-04-05 21:43:09.433151312,石景山区,高速公路,追尾,雪天,4,1,13.2,21,10.5,9.3,轻微
2706,2022-07-09 01:08:57.227930784,海淀区,城市主干道,追尾,阴天,0,1,2.8,46,1.5,2.8,轻微
2707,2024-12-16 11:12:31.089316920,东城区,城市主干道,单车事故,晴天,1,1,-1.4,83,0.8,6.2,一般
2708,2022-07-01 22:18:43.726580656,海淀区,城市次干道,多车连环,晴天,4,1,-2.1,29,5.5,7.1,轻微
2709,2025-09-13 03:23:53.717579768,丰台区,高速公路,单车事故,雪天,1,0,24.3,65,17.7,18.3,一般
2710,2023-01-24 21:43:43.996607656,朝阳区,支路,多车连环,雨天,3,1,37.1,20,16.7,15.6,严重
2711,2025-01-10 11:19:43.132521240,朝阳区,支路,单车事故,晴天,3,1,7.0,88,14.0,1.1,轻微
2712,2023-06-05 20:47:08.137021704,海淀区,支路,单车事故,雪天,2,0,34.6,29,0.7,2.3,一般
2713,2024-07-21 01:54:45.022710264,朝阳区,高速公路,追尾,雪天,2,0,13.4,32,14.9,15.3,轻微
2714,2025-05-24 10:34:12.619469944,东城区,支路,单车事故,雾天,3,1,-6.9,59,17.7,11.7,一般
2715,2022-07-26 04:54:37.461954192,朝阳区,支路,多车连环,晴天,0,1,16.0,63,7.6,2.7,一般
2716,2025-12-11 05:03:07.272935288,石景山区,高速公路,侧碰,雾天,4,0,18.0,68,1.5,19.2,一般
2717,2025-06-16 23:38:48.047012696,西城区,城市次干道,刮擦,雨天,2,0,25.4,81,10.7,11.1,一般
2718,2025-07-04 12:10:07.434951496,西城区,高速公路,多车连环,雾天,2,1,15.6,61,5.9,8.0,轻微
2719,2025-06-19 17:21:11.701378136,西城区,城市主干道,刮擦,雾天,3,1,39.5,58,8.1,3.9,轻微
2720,2023-12-03 04:39:30.171225112,丰台区,高速公路,单车事故,阴天,4,1,10.0,70,16.7,6.6,一般
2721,2025-11-18 05:07:00.576265624,海淀区,支路,追尾,雾天,1,1,-9.9,51,4.8,6.5,轻微
2722,2025-07-29 12:17:19.478155816,朝阳区,支路,单车事故,阴天,3,0,-3.2,88,9.3,15.9,轻微
2723,2022-10-13 05:38:24.284636456,丰台区,城市主干道,追尾,阴天,1,0,-4.0,92,1.6,19.7,严重
2724,2023-10-07 05:57:42.160424040,西城区,城市次干道,单车事故,阴天,4,0,6.4,59,6.3,0.2,一般
2725,2024-08-11 14:48:15.103718360,石景山区,城市主干道,侧碰,雪天,2,1,18.3,78,16.3,11.9,一般
2726,2021-03-29 17:07:48.101018096,西城区,城市主干道,追尾,雨天,1,0,9.6,42,18.7,3.1,轻微
2727,2022-08-05 14:35:43.348542848,朝阳区,城市次干道,追尾,阴天,3,0,34.8,53,11.3,5.7,轻微
2728,2025-04-23 01:08:05.382746264,东城区,城市主干道,侧碰,雨天,1,0,11.1,58,1.8,8.3,轻微
2729,2023-01-30 09:08:31.305338528,东城区,高速公路,单车事故,雪天,1,1,29.0,35,11.3,12.2,轻微
2730,2024-10-06 06:50:16.075815576,海淀区,高速公路,多车连环,雪天,4,0,36.1,61,3.5,19.5,严重
2731,2024-05-26 14:15:33.627570744,丰台区,城市主干道,刮擦,雨天,3,1,1.8,42,16.5,13.8,轻微
2732,2021-06-19 02:48:19.424150410,西城区,支路,刮擦,雪天,1,1,-2.2,71,19.8,11.5,轻微
2733,2025-11-04 21:20:41.458353816,西城区,支路,刮擦,晴天,2,0,15.4,83,19.1,2.6,一般
2734,2024-05-11 15:03:48.317039704,丰台区,支路,侧碰,雪天,1,1,24.2,20,5.4,14.1,轻微
2735,2023-11-20 23:10:08.515059496,丰台区,城市主干道,侧碰,雾天,4,1,16.3,72,7.3,9.6,轻微
2736,2024-06-12 22:24:03.438551848,丰台区,高速公路,追尾,雾天,4,0,24.3,72,13.1,6.4,轻微
2737,2022-04-12 10:32:20.288236816,石景山区,城市主干道,追尾,晴天,1,0,-3.7,41,3.2,0.5,一般
2738,2024-12-10 06:16:25.472755272,东城区,城市主干道,单车事故,雨天,3,0,6.7,76,4.3,12.7,轻微
2739,2023-12-13 23:06:15.211729160,海淀区,城市主干道,单车事故,雨天,2,1,-0.6,54,3.0,11.1,轻微
2740,2024-12-15 13:18:23.204528440,朝阳区,城市次干道,单车事故,雪天,4,0,36.1,29,19.7,4.3,一般
2741,2025-04-12 19:49:49.073115304,丰台区,城市主干道,追尾,雪天,0,0,28.2,88,9.6,19.0,一般
2742,2025-06-25 00:23:09.433151304,朝阳区,城市次干道,单车事故,雨天,2,1,17.0,61,12.8,19.0,一般
2743,2022-07-08 12:00:28.497057704,西城区,支路,追尾,晴天,1,0,8.2,67,14.1,10.8,轻微
2744,2025-10-29 07:38:56.687876792,西城区,城市次干道,刮擦,阴天,2,0,33.1,73,17.6,18.6,轻微
2745,2023-07-07 01:50:25.796787672,丰台区,支路,多车连环,雪天,3,0,33.6,24,18.9,10.2,轻微
2746,2022-09-28 15:12:18.128020800,东城区,高速公路,单车事故,雾天,4,0,31.0,55,19.7,17.3,轻微
2747,2021-06-07 01:41:47.344942488,石景山区,高速公路,多车连环,晴天,4,0,17.2,56,1.4,2.5,轻微
2748,2022-12-23 18:46:18.452053200,石景山区,高速公路,单车事故,雪天,4,1,12.0,37,20.0,14.8,轻微
2749,2024-10-20 03:45:03.924600456,西城区,城市主干道,追尾,雪天,2,1,1.7,32,19.6,15.3,严重
2750,2025-01-09 13:25:35.247732760,海淀区,城市次干道,单车事故,阴天,1,1,5.9,35,9.7,9.7,轻微
2751,2021-05-17 23:50:53.879595954,东城区,支路,追尾,阴天,0,0,18.8,71,9.2,13.3,轻微
2752,2025-10-22 00:25:53.609568952,朝阳区,高速公路,侧碰,雾天,0,0,27.0,46,17.3,9.9,轻微
2753,2024-09-02 16:50:13.915599560,东城区,城市次干道,单车事故,阴天,0,1,26.8,50,4.3,19.7,一般
2754,2023-05-21 08:26:54.095617560,朝阳区,城市次干道,刮擦,雪天,0,0,20.1,30,9.2,10.6,严重
2755,2024-02-21 20:48:43.186526648,丰台区,支路,多车连环,晴天,2,1,12.2,58,7.3,12.7,轻微
2756,2022-08-18 22:22:02.466454640,朝阳区,城市主干道,刮擦,雾天,0,0,16.1,26,16.9,19.9,轻微
2757,2022-08-15 11:08:20.504258424,东城区,高速公路,单车事故,雾天,2,0,14.2,68,14.5,16.9,严重
2758,2024-06-01 23:34:28.821090104,石景山区,高速公路,多车连环,雪天,2,0,-2.1,47,2.2,18.9,轻微
2759,2023-10-13 06:30:58.200027992,丰台区,高速公路,单车事故,雪天,3,1,28.0,87,0.2,7.9,轻微
2760,2025-06-24 11:14:40.702278216,海淀区,高速公路,单车事故,雨天,2,0,-8.4,77,3.0,15.9,轻微
2761,2023-08-20 01:31:33.843592360,海淀区,城市次干道,单车事故,阴天,2,0,32.9,71,8.3,1.5,轻微
2762,2022-08-24 09:46:49.775185512,西城区,城市主干道,侧碰,阴天,1,1,20.8,76,19.3,2.3,轻微
2763,2022-10-22 04:16:53.555563552,东城区,城市主干道,多车连环,雪天,2,0,19.3,60,14.5,2.6,一般
2764,2021-03-11 02:19:31.251333128,石景山区,支路,追尾,阴天,4,1,30.6,21,1.4,18.5,严重
2765,2021-12-15 12:46:33.573565352,丰台区,高速公路,多车连环,雾天,2,0,27.2,32,13.8,18.2,轻微
2766,2023-01-06 20:03:55.877795776,石景山区,城市次干道,单车事故,阴天,2,1,6.6,85,16.4,2.1,轻微
2767,2023-06-28 20:43:14.833691368,丰台区,城市次干道,单车事故,晴天,2,1,0.6,55,18.0,9.9,轻微
2768,2023-05-07 11:32:06.246832680,石景山区,支路,追尾,阴天,3,1,9.1,47,10.4,5.8,一般
2769,2023-06-21 17:53:01.332341224,东城区,城市主干道,追尾,阴天,0,1,0.9,78,7.1,18.2,轻微
2770,2025-05-14 14:01:35.463754376,西城区,城市主干道,追尾,阴天,0,0,34.9,60,14.4,16.4,严重
2771,2024-02-18 09:35:01.224330424,西城区,高速公路,刮擦,雾天,2,1,23.9,92,2.3,17.7,轻微
2772,2024-11-10 16:38:34.005608552,东城区,城市主干道,多车连环,晴天,4,1,26.4,49,10.4,10.5,轻微
2773,2022-12-06 19:23:27.794987496,海淀区,高速公路,多车连环,雨天,3,1,4.9,67,0.1,10.1,一般
2774,2024-11-17 06:20:18.776085608,海淀区,支路,侧碰,阴天,2,0,12.3,34,15.0,13.4,轻微
2775,2025-07-31 12:28:24.824690456,西城区,高速公路,追尾,雪天,2,1,-0.9,63,14.7,10.2,轻微
2776,2024-09-24 14:29:23.150523048,丰台区,城市主干道,刮擦,雨天,1,1,16.4,35,1.4,11.5,轻微
2777,2022-03-28 02:34:55.823790376,石景山区,高速公路,单车事故,雨天,4,0,28.3,83,17.9,18.4,轻微
2778,2025-10-28 09:44:48.803088312,东城区,高速公路,刮擦,雨天,2,0,10.3,66,19.6,17.9,轻微
2779,2025-06-08 18:31:37.083916392,朝阳区,城市次干道,刮擦,雾天,2,0,22.0,31,14.5,10.4,轻微
2780,2026-01-04 16:01:50.585266520,西城区,城市次干道,追尾,晴天,1,1,-9.7,69,2.8,7.2,轻微
2781,2025-12-06 19:55:17.425950584,丰台区,城市次干道,单车事故,晴天,0,1,5.7,82,8.2,12.0,严重
2782,2025-05-03 23:57:40.000208008,石景山区,城市主干道,侧碰,晴天,3,1,-4.1,91,12.4,1.0,轻微
2783,2021-07-11 13:35:57.389946990,丰台区,支路,追尾,雨天,1,0,-2.8,54,5.2,5.4,轻微
2784,2022-02-14 03:04:53.123520348,东城区,城市主干道,侧碰,雾天,1,0,33.6,73,0.4,0.5,轻微
2785,2022-11-21 07:03:13.753583352,海淀区,城市主干道,单车事故,雾天,1,1,19.9,62,14.6,9.3,一般
2786,2024-02-15 15:52:37.569964984,海淀区,支路,多车连环,雨天,1,0,1.8,40,2.1,5.7,一般
2787,2021-10-23 18:49:45.832791272,朝阳区,城市主干道,单车事故,雾天,1,0,2.7,84,4.6,13.9,轻微
2788,2023-02-28 09:37:54.041612152,海淀区,支路,追尾,晴天,4,0,21.5,77,7.9,2.0,轻微
2789,2025-03-22 06:56:18.992107208,东城区,支路,追尾,晴天,2,1,-6.1,32,4.2,12.1,轻微
2790,2025-10-22 17:57:11.917399736,海淀区,高速公路,刮擦,雨天,1,1,25.8,33,19.3,16.0,严重
2791,2024-11-15 01:46:23.852593256,西城区,城市次干道,单车事故,阴天,3,0,7.0,57,3.8,12.1,轻微
2792,2023-12-12 07:40:49.019109912,朝阳区,高速公路,单车事故,雾天,4,0,25.0,29,10.5,6.3,轻微
2793,2025-01-31 06:41:54.905698568,丰台区,支路,侧碰,雪天,1,0,36.0,65,8.6,5.7,轻微
2794,2023-11-07 19:46:38.974105400,海淀区,支路,侧碰,晴天,3,1,12.3,90,15.7,18.6,轻微
2795,2021-11-12 20:40:39.298137808,海淀区,城市次干道,多车连环,雨天,1,1,20.0,47,0.2,15.5,一般
2796,2024-09-14 04:48:17.263934392,丰台区,高速公路,单车事故,晴天,0,0,4.5,92,10.4,13.5,轻微
2797,2023-07-23 12:04:47.722980296,石景山区,高速公路,追尾,雪天,1,1,-4.7,46,5.5,4.5,轻微
2798,2023-07-14 09:03:28.875095496,朝阳区,城市主干道,刮擦,雾天,0,0,13.3,46,16.4,2.5,轻微
2799,2023-01-05 17:46:58.416049600,海淀区,城市次干道,侧碰,雪天,0,1,17.3,88,8.6,10.8,轻微
2800,2023-12-30 22:29:05.868794872,东城区,城市次干道,刮擦,阴天,4,1,38.1,58,11.2,16.9,轻微
2801,2024-07-04 02:31:54.365644552,丰台区,支路,刮擦,阴天,3,1,9.3,91,17.3,11.6,一般
2802,2023-10-09 01:45:57.930001000,西城区,城市主干道,单车事故,阴天,1,1,13.4,25,10.7,15.4,轻微
2803,2021-01-16 19:14:14.779685963,东城区,城市主干道,多车连环,阴天,4,0,-0.7,53,5.7,16.3,轻微
2804,2022-08-27 21:00:31.737381736,海淀区,支路,追尾,雾天,1,1,-6.2,56,1.8,19.8,轻微
2805,2025-12-16 16:27:54.581666168,西城区,城市次干道,追尾,雾天,0,1,-4.1,28,14.7,5.0,轻微
2806,2021-09-22 13:46:28.173025296,石景山区,城市主干道,多车连环,雪天,2,1,17.5,31,16.1,7.3,一般
2807,2022-08-07 23:32:27.848992896,石景山区,城市主干道,追尾,雾天,1,1,34.1,31,12.2,8.7,一般
2808,2024-12-28 16:41:52.745482536,海淀区,城市主干道,刮擦,阴天,3,0,1.4,49,10.8,12.2,严重
2809,2022-11-17 06:41:03.060514048,丰台区,支路,单车事故,雨天,0,0,27.6,81,15.0,5.4,一般
2810,2024-04-05 11:44:12.079415928,西城区,支路,刮擦,雨天,0,0,29.3,40,5.6,12.7,轻微
2811,2022-06-08 04:51:18.722080200,海淀区,高速公路,侧碰,阴天,4,1,37.6,43,18.9,16.5,一般
2812,2024-05-29 16:43:36.435851576,海淀区,高速公路,追尾,雪天,1,0,17.3,79,6.8,11.2,一般
2813,2022-07-13 01:31:07.921000096,海淀区,城市主干道,侧碰,晴天,2,1,-0.1,67,14.4,4.6,一般
2814,2025-07-31 21:14:03.978605848,石景山区,支路,多车连环,雾天,1,0,17.2,87,10.8,1.6,一般
2815,2023-09-28 07:19:12.889496936,东城区,支路,刮擦,雾天,1,1,12.6,42,2.8,8.3,轻微
2816,2022-01-14 11:10:04.194627456,朝阳区,高速公路,追尾,阴天,0,1,4.6,77,13.9,7.0,轻微
2817,2025-07-05 18:49:54.473655352,海淀区,支路,侧碰,雾天,3,0,28.0,85,13.3,8.6,严重
2818,2025-08-04 17:13:25.094717464,西城区,城市主干道,追尾,晴天,2,1,33.6,27,9.7,2.3,轻微
2819,2021-08-31 07:21:39.784186412,东城区,高速公路,刮擦,雨天,2,0,16.5,66,12.4,12.3,一般
2820,2023-04-10 19:59:28.011009096,石景山区,城市次干道,单车事故,晴天,1,0,0.9,68,2.6,13.0,轻微
2821,2025-01-05 08:40:34.977705768,海淀区,支路,追尾,雪天,4,0,14.3,86,6.8,3.9,一般
2822,2022-11-19 15:37:47.560964088,朝阳区,城市主干道,多车连环,晴天,3,1,-3.0,47,17.0,10.0,轻微
2823,2023-08-31 17:52:26.768884888,西城区,城市次干道,追尾,雨天,1,1,27.8,52,13.4,3.9,轻微
2824,2023-12-27 02:29:44.752683256,丰台区,支路,单车事故,阴天,0,1,2.9,64,10.3,13.5,轻微
2825,2024-03-20 05:52:39.730181016,西城区,城市次干道,刮擦,雨天,4,1,38.8,66,4.8,7.8,严重
2826,2025-08-01 10:22:32.709478936,西城区,城市次干道,刮擦,晴天,0,0,27.3,78,17.5,9.6,轻微
2827,2024-04-11 07:54:38.542062200,海淀区,高速公路,侧碰,阴天,2,0,37.2,30,16.4,5.1,一般
2828,2023-07-10 13:04:07.758983896,朝阳区,城市主干道,多车连环,阴天,0,1,-5.4,85,17.0,6.8,轻微
2829,2023-07-22 09:47:50.261234120,东城区,城市主干道,追尾,雨天,1,0,12.0,31,14.0,4.1,一般
2830,2023-02-20 13:16:22.232431240,朝阳区,支路,多车连环,雨天,2,0,4.0,45,12.4,11.2,轻微
2831,2024-08-26 09:37:10.837291720,丰台区,支路,单车事故,雪天,2,1,10.3,29,7.5,14.1,轻微
2832,2025-06-04 09:23:47.236931688,东城区,支路,追尾,雨天,4,0,28.1,54,8.5,13.7,一般
2833,2023-08-07 15:39:22.610469048,朝阳区,城市主干道,多车连环,阴天,3,1,25.0,48,10.8,19.5,一般
2834,2024-10-27 06:35:17.425950584,西城区,城市次干道,单车事故,阴天,0,0,27.1,93,4.8,14.2,严重
2835,2025-07-19 15:44:42.322440232,东城区,城市次干道,侧碰,晴天,3,1,-9.9,65,17.0,0.6,一般
2836,2023-12-17 05:57:07.596967688,石景山区,高速公路,单车事故,晴天,4,0,26.7,22,5.4,11.5,轻微
2837,2023-01-26 13:09:10.189226920,东城区,城市主干道,单车事故,雨天,2,1,-5.3,71,1.8,11.5,一般
2838,2025-06-29 00:45:20.126220616,西城区,城市次干道,刮擦,晴天,0,1,10.9,86,17.9,0.4,一般
2839,2024-03-29 17:39:37.731981192,海淀区,城市主干道,刮擦,晴天,1,0,24.6,41,3.2,6.2,一般
2840,2023-12-31 02:51:55.445752568,石景山区,城市主干道,侧碰,阴天,4,1,-9.0,62,18.8,5.7,轻微
2841,2022-07-14 08:10:54.959703968,西城区,城市次干道,侧碰,晴天,3,1,-6.1,22,3.3,10.6,一般
2842,2025-08-16 00:48:38.866094616,丰台区,城市次干道,刮擦,雪天,4,1,14.3,58,11.2,10.9,轻微
2843,2024-08-07 05:40:25.256733672,海淀区,城市主干道,追尾,雨天,3,0,-4.1,74,14.1,4.8,轻微
2844,2025-05-29 08:50:31.197327720,石景山区,高速公路,多车连环,阴天,4,1,-8.8,75,18.4,14.4,一般
2845,2024-08-20 09:03:54.797687768,朝阳区,城市次干道,追尾,阴天,0,1,1.2,50,6.7,17.0,轻微
2846,2021-08-06 02:51:38.164024396,朝阳区,高速公路,侧碰,雨天,1,0,33.7,73,13.4,14.0,一般
2847,2025-04-10 02:07:25.418749864,朝阳区,高速公路,追尾,雪天,3,0,9.8,49,12.2,12.8,轻微
2848,2022-10-01 00:09:02.628470840,石景山区,支路,侧碰,雪天,1,1,6.7,70,12.5,6.8,轻微
2849,2025-02-18 08:21:43.024510440,朝阳区,城市主干道,侧碰,雨天,3,0,-5.4,77,5.9,9.4,轻微
2850,2021-02-13 17:26:40.054213416,海淀区,城市主干道,多车连环,晴天,4,0,36.6,62,6.8,11.8,一般
2851,2024-04-29 13:57:16.237831784,海淀区,城市主干道,侧碰,雪天,4,1,3.9,40,10.0,1.8,严重
2852,2022-12-26 08:05:52.529460944,西城区,城市次干道,单车事故,阴天,2,0,4.2,41,4.2,15.5,轻微
2853,2021-07-27 15:04:40.162224216,石景山区,城市次干道,单车事故,阴天,1,1,5.5,81,5.8,17.3,轻微
2854,2024-05-30 10:14:54.743682360,东城区,城市次干道,多车连环,雪天,1,1,37.1,88,10.5,6.5,轻微
2855,2021-08-19 23:46:26.012809276,朝阳区,城市次干道,追尾,阴天,4,0,-2.4,69,14.2,15.5,轻微
2856,2025-04-04 14:42:38.110019000,东城区,城市主干道,侧碰,雨天,4,0,12.6,88,7.2,11.9,轻微
2857,2025-10-07 18:45:26.606868696,丰台区,城市次干道,单车事故,阴天,1,0,2.0,47,14.1,11.9,轻微
2858,2021-06-13 11:00:42.538461840,石景山区,高速公路,侧碰,雪天,1,0,7.8,88,19.8,8.8,一般
2859,2024-09-19 03:04:35.841792168,丰台区,高速公路,单车事故,雨天,2,1,15.1,79,1.7,8.6,轻微
2860,2024-10-12 11:46:21.692377224,海淀区,城市次干道,单车事故,雨天,1,0,14.9,84,4.7,14.8,轻微
2861,2021-03-20 09:43:39.676175612,东城区,支路,刮擦,雨天,4,0,-2.0,54,6.2,16.4,轻微
2862,2024-02-23 07:51:19.802188216,丰台区,城市主干道,多车连环,雨天,4,1,29.3,51,8.1,10.4,轻微
2863,2024-12-01 16:23:35.355743576,西城区,支路,多车连环,雾天,2,1,8.7,83,6.5,16.1,轻微
2864,2022-11-20 17:54:45.022710264,朝阳区,支路,单车事故,晴天,4,0,-6.5,75,13.8,13.7,一般
2865,2022-10-01 04:31:52.205428536,丰台区,支路,单车事故,雪天,1,1,13.3,75,1.4,3.5,轻微
2866,2025-04-04 05:56:58.956103608,东城区,支路,刮擦,雾天,4,0,38.4,41,16.4,5.8,一般
2867,2022-10-16 21:14:55.823790376,朝阳区,城市次干道,刮擦,雾天,3,0,-0.1,20,17.7,12.0,轻微
2868,2022-06-06 04:40:13.375545552,海淀区,高速公路,单车事故,晴天,0,1,30.6,49,3.3,17.2,一般
2869,2025-01-23 19:06:02.250433032,石景山区,支路,追尾,雾天,3,1,31.2,38,18.3,12.0,严重
2870,2021-06-24 09:50:17.155923586,丰台区,城市次干道,追尾,雪天,1,1,31.8,30,2.6,14.6,轻微
2871,2021-11-26 21:58:16.723880384,东城区,城市次干道,侧碰,雾天,0,0,-2.1,48,1.5,10.0,一般
2872,2022-02-11 22:30:58.200027996,海淀区,城市次干道,单车事故,阴天,1,1,31.3,54,6.6,19.0,一般
2873,2025-08-03 10:33:38.056013592,石景山区,城市主干道,多车连环,雾天,1,0,20.2,83,6.7,17.5,一般
2874,2023-01-24 17:20:54.419649960,海淀区,城市次干道,单车事故,晴天,4,0,-4.5,57,7.6,8.3,一般
2875,2022-06-11 16:05:00.684276424,东城区,高速公路,单车事故,雨天,3,0,5.4,91,15.9,9.2,轻微
2876,2022-10-08 07:22:05.706778672,西城区,高速公路,多车连环,阴天,4,0,2.0,41,15.4,1.9,轻微
2877,2025-11-13 11:13:31.575365528,丰台区,支路,多车连环,晴天,0,1,0.6,44,1.7,13.8,一般
2878,2024-08-21 15:43:41.836391640,西城区,城市次干道,多车连环,雾天,3,1,38.2,89,15.6,7.8,一般
2879,2025-03-04 00:53:41.296337624,石景山区,城市次干道,侧碰,阴天,4,0,-0.6,72,16.2,11.3,轻微
2880,2022-02-27 19:36:51.395347528,石景山区,高速公路,单车事故,雪天,3,0,-3.9,47,2.4,11.1,轻微
2881,2025-06-05 02:55:05.544762472,西城区,城市次干道,多车连环,雾天,2,1,-1.7,72,6.3,4.0,轻微
2882,2024-03-01 10:41:33.303538344,海淀区,城市次干道,侧碰,阴天,4,0,-4.7,42,14.9,3.1,轻微
2883,2021-10-11 13:20:24.176625656,丰台区,城市次干道,追尾,阴天,3,0,-0.5,51,3.0,0.3,轻微
2884,2024-06-03 01:51:26.282836280,西城区,支路,刮擦,雪天,2,0,0.1,50,9.4,16.5,轻微
2885,2023-03-05 16:39:51.773385336,石景山区,城市次干道,刮擦,雾天,3,0,6.8,43,2.4,3.4,轻微
2886,2025-12-14 16:16:49.235131512,海淀区,支路,侧碰,雾天,0,0,6.3,43,1.3,19.3,轻微
2887,2024-03-13 07:25:15.805788568,丰台区,城市主干道,刮擦,晴天,1,1,37.2,69,9.1,16.2,轻微
2888,2023-08-13 07:26:59.496157608,海淀区,支路,单车事故,晴天,1,1,19.9,73,10.9,11.6,一般
2889,2025-12-15 18:33:46.696877688,海淀区,城市主干道,追尾,阴天,4,1,30.0,55,14.9,17.2,轻微
2890,2021-02-25 09:47:32.979505945,石景山区,城市主干道,刮擦,晴天,1,1,-4.8,82,9.8,6.2,轻微
2891,2023-10-22 09:32:17.047912792,丰台区,支路,追尾,雨天,3,0,36.8,43,8.9,19.0,轻微
2892,2023-07-24 18:44:34.761684168,东城区,支路,刮擦,雨天,1,1,17.3,66,10.7,9.9,轻微
2893,2023-08-17 03:26:20.612269224,海淀区,城市次干道,多车连环,雨天,2,0,-8.9,55,11.8,18.8,轻微
2894,2022-10-08 11:44:55.283736368,丰台区,城市主干道,追尾,阴天,0,1,-7.8,47,13.3,0.5,严重
2895,2025-01-03 21:37:58.362044200,石景山区,高速公路,追尾,雪天,1,0,1.0,30,6.7,0.7,轻微
2896,2022-11-13 06:18:52.367444736,石景山区,高速公路,侧碰,阴天,1,0,30.3,44,0.9,0.2,轻微
2897,2025-08-25 12:35:36.867894776,石景山区,城市主干道,单车事故,阴天,0,0,-0.1,38,0.7,14.7,一般
2898,2025-11-02 08:01:07.380946104,东城区,城市次干道,追尾,雪天,0,0,39.2,30,17.3,7.5,轻微
2899,2023-07-15 20:06:05.490757064,西城区,高速公路,刮擦,雨天,0,0,-6.0,64,4.8,17.3,轻微
2900,2025-03-15 21:37:23.798587848,朝阳区,高速公路,多车连环,晴天,0,0,35.4,61,12.5,17.1,严重
2901,2023-12-05 04:50:35.517759768,东城区,城市主干道,单车事故,雾天,2,0,10.4,73,8.3,2.4,一般
2902,2023-10-22 22:40:45.778785880,海淀区,支路,刮擦,雨天,0,0,21.4,84,1.4,9.0,轻微
2903,2021-01-07 16:12:55.931801174,朝阳区,高速公路,侧碰,雾天,1,0,18.8,22,2.0,19.7,轻微
2904,2023-10-12 12:59:39.892197208,东城区,城市次干道,刮擦,雾天,0,1,10.4,39,8.7,12.3,轻微
